Location,CABIN FILTER,As on 18TH,MATS,As on 18TH,MUD FLAPS,As on 18TH,SCREEN WASH,As on 18TH,WHEEL COVER,As on 18TH,BODY COVER,As on 18TH,DEC  Target,As on 18TH,Balance,Per Day
ANE,10,9,5,1,30,9,50,22,10,0,1,0,0.25,0.0745609,0.1754391,0.0159490090909091
BNG,300,139,25,4,200,104,1000,586,110,87,15,12,4,1.9113365,2.0886635,0.1898785
BOM,100,54,5,0,40,14,500,141,30,4,3,1,1,0.3209417,0.6790583,0.0617325727272727
BRG,50,13,5,1,40,10,100,21,20,14,2,0,0.4,0.1463132,0.2536868,0.0230624363636364
CHD,30,1,5,2,60,9,50,42,20,5,2,0,0.4,0.1303162,0.2696838,0.0245167090909091
CUR,20,17,5,0,10,4,100,4,10,2,1,0,0.3,0.0872182,0.2127818,0.0193438
KEN,100,21,5,1,80,44,200,100,20,19,5,0,1,0.3068687,0.6931313,0.0630119363636364
KER,100,16,15,0,100,43,500,156,80,31,6,2,1.5,0.3597686,1.1402314,0.1036574
KNT,30,20,5,2,80,36,100,313,20,10,3,0,0.75,0.2569991,0.4930009,0.0448182636363636
RNA,150,0,10,2,50,2,300,0,40,0,5,0,0.75,0.0167655,0.7332345,0.0666576818181818
VKN,10,1,5,1,10,3,100,18,10,4,1,0,0.15,0.0554822,0.0945178,0.00859252727272727
YED,100,17,10,1,100,40,1000,198,80,28,6,6,1.5,0.6675112,0.8324888,0.0756808

Total,1000,308,100,15,800,318,4000,1601,450,204,50,21,12,4.334082,7.665918,0.696901636363637
